,Cenefas,Enlaces,id,Nombre,Other
78,371A07 - Br. El Ejido,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=61,371A07,Br. El Ejido,
79,402A06 - Urb. Capellanía,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=71,402A06,Urb. Capellanía,
80,009A06 - Br. Puente Grande,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=81,009A06,Br. Puente Grande,
81,009A07 - Br. Kasandra,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=82,009A07,Br. Kasandra,
82,010A07 - Br. El Charco,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=83,010A07,Br. El Charco,
83,011A07 - Br. El Charco I,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=84,011A07,Br. El Charco I,
84,012A07 - Br. El Charco,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=85,012A07,Br. El Charco,
85,013A07 - Zona Franca,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=86,013A07,Zona Franca,
86,014A07 - Br. Sabana Grande,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=88,014A07,Br. Sabana Grande,
87,015A07 - C.C. Portal de La Sabana,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=87,015A07,C.C. Portal de La Sabana,
88,016A07 - Br. El Tintal - Santa Helena,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=89,016A07,Br. El Tintal,Santa Helena
89,017A07 - Vereda El Tintal Urbano,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=90,017A07,Vereda El Tintal Urbano,
90,018A07 - Versalles Fontibón,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=91,018A07,Versalles Fontibón,
91,019A07 - Br. Interindustrial,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=94,019A07,Br. Interindustrial,
92,020A07 - Br. Lusitania,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=98,020A07,Br. Lusitania,
93,021A07 - Salazar Gómez,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=100,021A07,Salazar Gómez,
94,041A07 - Br. Ciudad Alsacia,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=97,041A07,Br. Ciudad Alsacia,
95,057A07 - Br. El Vergel,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=93,057A07,Br. El Vergel,
96,073A07 - Br. Villa Alsacia,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=96,073A07,Br. Villa Alsacia,
97,340A07 - Br. Lusitania,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=99,340A07,Br. Lusitania,
98,341A07 - El Tintal II,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=92,341A07,El Tintal II,
99,355A07 - Br. Interindustrial,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=95,355A07,Br. Interindustrial,
100,022A07 - Salazar Gómez,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=101,022A07,Salazar Gómez,
101,023A07 - Salazar Gómez,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=102,023A07,Salazar Gómez,
102,066A07 - Br. Gorgonzola,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=103,066A07,Br. Gorgonzola,
103,244A00 - Pl. Las Nieves,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=115,244A00,Pl. Las Nieves,
104,244B00 - Pl. Las Nieves,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=116,244B00,Pl. Las Nieves,
105,245A00 - Br. Las Nieves,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=113,245A00,Br. Las Nieves,
106,245B00 - Br. Las Nieves,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=114,245B00,Br. Las Nieves,
107,248A00 - Br. Las Nieves,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=111,248A00,Br. Las Nieves,
108,248B00 - Br. Las Nieves,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=112,248B00,Br. Las Nieves,
109,249A00 - Br. La Alameda,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=117,249A00,Br. La Alameda,
110,249B00 - Br. La Alameda,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=118,249B00,Br. La Alameda,
111,251A00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=119,251A00,Br. La Favorita,
112,251B00 - Br. La Favorita,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=120,251B00,Br. La Favorita,
113,365A07 - Br. Gorgonzola,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=104,365A07,Br. Gorgonzola,
114,366A07 - Colegio La Merced,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=105,366A07,Colegio La Merced,
115,367A07 - SuperCADE Calle 13,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=106,367A07,SuperCADE Calle 13,
116,368A07 - Secretaría Distrital de Salud,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=107,368A07,Secretaría Distrital de Salud,
117,797A00 - Estación Ricaurte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=108,797A00,Estación Ricaurte,
118,829A00 - Br. Ricaurte,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=109,829A00,Br. Ricaurte,
119,831A00 - Alcaldía Local Los Mártires,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=110,831A00,Alcaldía Local Los Mártires,
120,007A00 - Br. El Listón,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=123,007A00,Br. El Listón,
121,007B00 - Br. El Listón,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=124,007B00,Br. El Listón,
122,024A07 - Br. Industrial Centenario,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=133,024A07,Br. Industrial Centenario,
123,024B07 - Br. Industrial Centenario,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=134,024B07,Br. Industrial Centenario,
124,025A07 - Br. Cundinamarca,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=129,025A07,Br. Cundinamarca,
125,025B07 - Br. Cundinamarca,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=130,025B07,Br. Cundinamarca,
126,067A00 - C.C. Calima,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=127,067A00,C.C. Calima,
127,067B00 - C.C. Calima,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=128,067B00,C.C. Calima,
128,119A07 - Br. Industrial Centenario,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=135,119A07,Br. Industrial Centenario,
129,119B07 - Industrial Centenario,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=136,119B07,Industrial Centenario,
130,120A07 - Br. Cundinamarca,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=131,120A07,Br. Cundinamarca,
131,120B07 - Br. Cundinamarca,https://www.transmilenio.gov.co/loader.php?lServicio=Rutas&lTipo=busqueda&lFuncion=paradas&paradero=132,120B07,Br. Cundinamarca,
